user,year,camera,longitude,latitude,url
88551178@N00,2009,APPLE,-122.426833,37.759333,http://farm3.staticflickr.com/2592/3935972163_0ef4092631.jpg
10907058@N05,2011,PENTAX,-122.47786,37.812346,http://farm7.staticflickr.com/6041/6253181023_052e5a0247.jpg
29511992@N00,2008,CANON,-122.40113,37.786937,http://farm4.staticflickr.com/3120/2699283952_653146e54e.jpg
25832718@N00,2011,HTC,-122.3005,37.887325,http://farm3.staticflickr.com/2299/5826421694_dcef336ea3.jpg
44124466908@N01,2011,NIKON,-122.407806,37.785105,http://farm7.staticflickr.com/6004/5958098520_6e9de597bf.jpg
37665378@N00,2009,APPLE,-122.267167,37.812333,http://farm8.staticflickr.com/7376/10718850736_5206fb6255.jpg
26531934@N03,2010,CANON,-122.472152,37.750086,http://farm5.staticflickr.com/4104/5143857453_2b5df95731.jpg
50295193@N00,2012,CANON,-122.420632,37.763039,http://farm9.staticflickr.com/8001/7456473208_78e53b8a14.jpg
75964373@N00,2011,APPLE,-122.39183,37.793167,http://farm6.staticflickr.com/5306/5751688607_e7f598a2d4.jpg
35034347485@N01,2012,VIGNETTE,-122.419342,37.761005,http://farm8.staticflickr.com/7170/6703253387_df12ddbe70.jpg
13416711@N00,2010,CANON,-122.371795,37.816073,http://farm5.staticflickr.com/4005/4656723571_a01bc1d52a.jpg
27183443@N00,2008,NIKON,-122.40603,37.802879,http://farm4.staticflickr.com/3055/2609468408_79975e228c.jpg
44124466908@N01,2008,NIKON,-122.407565,37.788016,http://farm4.staticflickr.com/3031/2563536813_8c883a9aa2.jpg
33722054@N00,2007,CANON,-122.4114,37.783027,http://farm2.staticflickr.com/1081/1359230826_cf1bd1306b.jpg
63651050@N00,2008,CANON,-122.447017,37.80238,http://farm4.staticflickr.com/3779/8915038514_67ece6f071.jpg
26953850@N04,2009,EASTMAN,-122.416813,37.780176,http://farm4.staticflickr.com/3110/3738381586_99b23d1688.jpg
51141652@N00,2006,CANON,-122.492194,37.770337,http://farm1.staticflickr.com/79/264876549_82ee967b8e.jpg
45352349@N00,2009,CANON,-122.461731,37.764171,http://farm4.staticflickr.com/3356/3494933537_e8fc4b9225.jpg
46828303@N00,2009,NIKON,-122.47742,37.810546,http://farm4.staticflickr.com/3305/3634630052_ff45b3f09b.jpg
