year,tag,count
2003,phiiliipin,1
2003,clouds,1
2003,knight,3
2003,t.,1
2003,tomé,2
2003,subway,4
2003,tours,3
2003,usa2003,2
2003,challenge,1
2003,the,3
2003,marcopolo,1
2003,contre-plongée,1
2003,crow,1
2003,streets,1
2003,sign,1
2003,zero,2
2003,street,6
2003,design,2
2003,bikesummer,2
2003,neo-baroque,1
2003,7th,1
2003,wienerdog,1
2003,victor,1
2003,blue,1
2003,sun,1
2003,walterreadetheater,2
2003,liberty,8
2003,lights,1
2003,dr.,1
2003,new,185
2003,public,2
2003,explosion,1
2003,lee,1
2003,exchange,1
2003,newyork,22
2003,seventh,1
2003,meatwave,13
2003,objects,1
2003,jonas,1
2003,groundzero,2
2003,estatua,1
2003,directions,1
2003,path,1
2003,box,1
2003,institute,1
2003,study,2
2003,economics,1
2003,advertising,1
2003,chrysler,3
2003,social,2
2003,agenda893,1
2003,golden,1
2003,newyorkcity,19
2003,blizzard,2
2003,transit,8
2003,cosmetic,1
2003,julia,1
2003,blueman,1
2003,vog,2
2003,lion's,7
2003,babyanimal,3
2003,red,1
2003,sarah,2
2003,terminal,1
2003,top-v111,1
2003,eye,1
2003,usa,11
2003,&,3
2003,hudson,6
2003,live,11
2003,goldenretriever,1
2003,debbie,2
2003,20031219,1
2003,20031218,1
2003,clinteastwood,2
2003,door,1
2003,club,7
2003,plant,1
2003,glass,1
2003,train,1
2003,bellydance,3
2003,baby,3
2003,central,10
2003,nypd,2
2003,circle,3
2003,town,1
2003,grill,1
2003,balls,1
2003,tunnel,1
2003,science,4
2003,nappytime,1
2003,soul,4
2003,reisman,1
2003,judd,1
2003,districts,1
2003,den,7
2003,island,18
2003,carmen,3
2003,history,8
2003,classrooms,1
2003,trump,1
2003,reeds,1
2003,pont,1
2003,wampum,1
2003,states,16
2003,tag,1
2003,walsh,1
2003,tallbike,1
2003,david,1
2003,g2,1
2003,homicide,1
2003,united,17
2003,winter,2
2003,travel,11
2003,williamsburg,5
2003,1,1
2003,interestingness48,1
2003,seeminglee.com,1
2003,fourth,10
2003,nyc,78
2003,pizza,2
2003,buildings,2
2003,bowery,1
2003,dinosaurs,4
2003,birthday,8
2003,new-york,1
2003,dumbo,1
2003,ixusv2,2
2003,man,1
2003,natural,4
2003,explore3may05,1
2003,light,3
2003,documentation,1
2003,deutsche,1
2003,wink,1
2003,[sic],2
2003,green,1
2003,feedback,3
2003,publicité,1
2003,josephine,1
2003,muffin,1
2003,years,1
2003,broadway,2
2003,avenue,5
2003,itp,1
2003,fitcampus,1
2003,fit,1
2003,la,4
2003,hot,1
2003,musem,1
2003,holiday,7
2003,beaux-arts,1
2003,image,1
2003,dad,2
